Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2561,27/08/2015,Djubo.com,Cloud Based Hotel Sales Platform,,New Delhi,Ibibo Group,Private Equity,,Strategic Investment
2562,28/08/2015,BetterButter.in,online recipe sharing platform,,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,,
2563,28/08/2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,"20,00,000",Pre-Series A
2564,28/08/2015,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,"1,60,000",
2565,29/08/2015,iamwire,Digital Media publishing platform,,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,,
2566,31/08/2015,DropKaffe,Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,"3,00,000",
2567,31/08/2015,Reverie,Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,"40,00,000",Series A
2568,31/08/2015,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,,Bridge Round
2569,01/07/2015,Parcelled,Online Logistics Platform,,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,,
2570,01/07/2015,Retigence Technologies,Business IT Intelligence Services,,Mumbai,Omnivore Partners,Private Equity,,Series A
2571,01/07/2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"10,00,000",
2572,01/07/015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"6,30,000",
2573,01/07/2015,iDreamCareer,Ed-Tech Platform,,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,,
2574,01/07/2015,Ola Cabs,Cab rental Mobile app,,Bangalore,Ratan Tata,Private Equity,,Personal Investment
2575,01/07/2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"1,35,00,000",Series A
2576,02/07/2015,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"6,00,00,000",Series C\\n(More here)
2577,02/07/2015,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,"50,00,000",Series A
2578,02/07/2015,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"1,61,000",
2579,03/07/2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,"65,00,000",Series A
2580,03/07/2015,Goqii,Mobile Fitness Marketplace,,Mumbai,Vijay Shekhar Sharma,Private Equity,,Pre-Series A
2581,03/07/2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"10,00,000",
2582,04/07/2015,Elanic,P2P Pre-owned goods marketplace,,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,,
2583,04/07/2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"3,95,000",
2584,05/07/2015,Urban Tailor,Online Tailoring Services,,Bangalore,Group of angel investors,Seed Funding,,
2585,06/07/2015,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,Pravin Agarwala & others,Seed Funding,,
2586,06/07/2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"3,00,00,000",Series B
2587,06/07/2015,getNow,Hyperlocal Goods marketplace,,Nagpur,Atulya Mittal,Seed Funding,,
2588,07/07/2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"30,00,000",Series A
2589,07/07/2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,"50,00,000",Series A
2590,07/07/2015,Eatlo,Food Delivery platform,,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,,
